Point,West Height (m),Center Height (m),East Height(m),West Diff (m),Center Diff (m),East Diff(m),West Grade (m),East Grade(m)
332,204.776,204.982,204.589,0.0,0.111,-0.002,1.53,2.93
333,204.75,204.964,204.569,0.0,0.115,0.0,1.59,2.94
334,204.724,204.944,204.552,0.0,0.113,0.006,1.64,2.92
335,204.701,204.924,204.54,0.0,0.109,0.013,1.66,2.86
336,204.677,204.902,204.529,0.0,0.105,-0.008,1.67,2.78
337,204.658,204.88,204.518,0.0,0.102,-0.002,1.65,2.69
338,204.639,204.862,204.502,0.0,0.096,0.002,1.66,2.68
339,204.624,204.842,204.481,-0.002,0.088,0.004,1.62,2.69
340,204.604,204.822,204.46,0.019,0.086,0.0,1.62,2.69
341,204.587,204.802,204.442,0.0,0.084,-0.001,1.6,2.68
342,204.572,204.782,204.419,0.002,0.081,0.002,1.56,2.7
343,204.562,204.762,204.395,-0.002,0.078,0.0,1.49,2.73
344,204.551,204.742,204.373,0.0,0.073,-0.002,1.42,2.75
345,204.537,204.722,204.352,0.0,0.069,-0.001,1.37,2.75
346,204.523,204.702,204.331,0.0,0.061,0.002,1.33,2.76
347,204.511,204.682,204.31,0.004,0.062,0.0,1.27,2.77
348,204.494,204.662,204.288,0.015,0.056,0.0,1.25,2.78
349,204.472,204.642,204.263,0.011,0.052,-0.003,1.26,2.82
350,204.449,204.627,204.238,0.002,0.051,0.0,1.32,2.9
351,204.431,204.612,204.218,-0.016,0.049,0.005,1.34,2.93
352,204.418,204.602,204.203,-0.022,0.054,0.018,1.37,2.97
353,204.41,204.592,204.191,-0.022,0.059,-0.011,1.35,2.99
354,204.407,204.582,204.179,-0.021,0.066,0.004,1.3,3.0
355,204.403,204.572,204.169,-0.02,0.074,0.022,1.26,3.0
356,204.394,204.562,204.159,-0.029,0.081,0.03,1.25,3.0
357,204.38,204.548,204.152,-0.035,0.09,0.042,1.25,2.95
358,204.366,204.534,204.145,-0.043,0.097,0.058,1.25,2.9
359,204.357,204.525,204.139,-0.048,0.106,0.076,1.25,2.87
360,204.353,204.521,204.134,-0.051,0.123,0.093,1.25,2.88
361,204.354,204.522,204.134,-0.044,0.14,0.117,1.25,2.89
362,204.359,204.527,204.139,-0.03,0.159,0.144,1.25,2.89
363,204.369,204.537,204.144,-0.001,0.178,0.164,1.25,2.93
364,204.382,204.55,204.147,0.022,0.216,0.187,1.25,3.0
365,204.39,204.558,204.155,0.05,0.246,0.21,1.25,3.0
366,204.393,204.561,204.158,0.075,0.273,0.239,1.25,3.0
367,204.391,204.559,204.156,0.086,0.28,0.261,1.25,3.0
368,204.384,204.552,204.149,0.086,0.273,0.272,1.25,3.0
369,204.372,204.54,204.137,0.079,0.273,0.279,1.25,3.0
370,204.355,204.523,204.12,0.072,0.273,0.276,1.25,3.0
371,204.333,204.501,204.098,0.05,0.275,0.242,1.25,3.0
372,204.306,204.474,204.071,0.054,0.274,0.228,1.25,3.0
373,204.274,204.442,204.039,0.045,0.259,0.209,1.25,3.0
374,204.237,204.405,204.002,0.023,0.237,0.185,1.25,3.0
375,204.195,204.363,203.96,0.044,0.208,0.159,1.25,3.0
376,204.148,204.316,203.913,0.029,0.183,0.126,1.25,3.0
377,204.1,204.268,203.865,-0.017,0.151,0.093,1.25,3.0
378,204.055,204.223,203.82,-0.042,0.128,0.068,1.25,3.0
379,204.015,204.183,203.78,-0.07,0.104,0.044,1.25,3.0
380,203.98,204.148,203.745,-0.092,0.084,0.023,1.25,3.0
381,203.95,204.118,203.715,-0.127,0.068,0.006,1.25,3.0
382,203.925,204.093,203.69,-0.139,0.045,0.002,1.25,3.0
383,203.905,204.073,203.67,-0.146,0.033,0.005,1.25,3.0
384,203.89,204.058,203.655,-0.152,0.034,0.003,1.25,3.0
385,203.878,204.046,203.643,-0.142,0.032,0.007,1.25,3.0
386,203.866,204.036,203.634,-0.144,0.033,0.019,1.26,2.99
387,203.859,204.027,203.626,-0.136,0.03,0.025,1.25,2.99
388,203.847,204.015,203.617,-0.13,0.031,0.016,1.25,2.96
389,203.84,204.008,203.608,-0.122,0.038,0.02,1.25,2.98
